,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,status,floor,district,hasLift
257,699.0,flat,52.0,True,1,1,Madrid,7092,good,3,Puente de Vallecas,True
258,750.0,studio,32.0,True,0,1,Madrid,5006,good,14,Ciudad Lineal,True
259,730.0,flat,80.0,True,3,1,Collado Villalba,35774,good,4,Carlos Ruiz,False
260,710.0,flat,30.0,True,1,1,Madrid,1156,good,bj,Centro,False
261,650.0,flat,58.0,True,1,1,Madrid,5924,good,4,Puente de Vallecas,True
262,600.0,countryHouse,60.0,False,2,2,Villaviciosa de Odón,23776,renew,desconocido,Centro,desconocido
263,740.0,flat,41.0,True,2,1,Madrid,8358,good,3,Villa de Vallecas,False
264,525.0,flat,40.0,True,1,1,Aranjuez,43059,good,3,Foso-Moreras,True
265,750.0,studio,35.0,True,0,1,Madrid,1272,good,4,Moncloa,False
266,750.0,flat,74.0,True,3,1,Alcalá de Henares,29245,good,2,Chorrillo,True
267,710.0,flat,69.0,True,3,1,Alcalá de Henares,28440,good,5,Reyes Católicos,True
268,560.0,studio,46.0,True,0,1,Madrid,3786,good,bj,Puente de Vallecas,False
269,600.0,flat,42.0,True,1,1,Torrejón de Ardoz,18905,good,bj,Noroeste,False
270,720.0,flat,44.0,True,1,1,Madrid,3589,good,ss,Carabanchel,False
271,750.0,flat,60.0,True,2,1,Madrid,2591,good,desconocido,Latina,False
272,750.0,flat,42.0,False,1,1,Madrid,2762,good,4,Arganzuela,True
273,750.0,studio,90.0,True,0,1,Madrid,7228,good,4,San Blas,True
274,650.0,studio,45.0,False,0,1,Madrid,3807,good,bj,Chamartín,True
275,650.0,flat,59.0,True,1,1,Parla,20637,good,2,El Nido-Las Fuentes,True
276,670.0,flat,75.0,True,2,1,Arganda,27056,good,3,El Mirador - Grillero,True
277,650.0,flat,45.0,True,1,1,Getafe,12383,newdevelopment,2,La Alhóndiga,True
278,750.0,flat,32.0,True,1,1,Madrid,5339,good,2,Puente de Vallecas,True
279,725.0,flat,50.0,True,1,1,Madrid,5564,desconocido,desconocido,desconocido,desconocido
280,620.0,studio,20.0,False,0,1,Madrid,1893,good,1,Arganzuela,True
281,680.0,flat,35.0,True,1,1,Madrid,3308,good,bj,Carabanchel,False
282,750.0,flat,87.0,True,3,1,Coslada,12519,good,bj,La Espinilla - Parque Blanco,True
283,670.0,flat,53.0,True,1,1,Getafe,12383,newdevelopment,1,La Alhóndiga,True
284,600.0,flat,75.0,True,3,1,Alcalá de Henares,28756,desconocido,desconocido,desconocido,desconocido
