,price,rooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_False,exterior_True,bathrooms_1,bathrooms_2,bathrooms_3
103,705.0,689.5390471579225,706.8106482790962,701.970873786407,712.0699594988107,705.692305461913,0.2978723404255319,0.2001134490277064,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
104,650.0,704.5562854110732,694.0859112603721,701.970873786407,701.7385556407845,696.3333379576432,0.4468085106382978,0.7630510697888785,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
105,700.0,704.5562854110732,703.0963850569117,701.970873786407,710.5365065594968,696.3333379576432,0.4361702127659574,0.4207186286848776,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
106,650.0,695.0776273114345,706.8106482790962,701.970873786407,695.1528188869772,705.692305461913,0.2127659574468085,0.0869480438905925,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
107,700.0,689.5390471579225,706.8106482790962,701.970873786407,678.7988667568208,696.3333379576432,0.2127659574468085,0.0512825058053994,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
108,730.0,704.5562854110732,706.8106482790962,701.970873786407,712.0699594988107,696.3333379576432,0.3297872340425531,0.1167106872529381,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
109,750.0,704.5562854110732,706.8106482790962,701.970873786407,701.7385556407845,696.3333379576432,0.3191489361702128,0.1444347933986847,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
110,680.0,704.5562854110732,697.5959787532945,701.970873786407,701.7385556407845,696.3333379576432,0.3829787234042553,0.3388403382199138,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
111,710.0,710.948085191854,701.3645426202124,701.970873786407,712.0699594988107,696.3333379576432,0.6170212765957447,0.3799478843528974,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
112,720.0,704.5562854110732,706.8106482790962,701.970873786407,710.5365065594968,696.3333379576432,0.2872340425531915,0.1224008650488362,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
113,750.0,695.0776273114345,706.8106482790962,701.970873786407,682.8892293349359,705.692305461913,0.2446808510638297,0.0912732880718983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
114,695.0,695.0776273114345,706.8106482790962,701.970873786407,682.8892293349359,705.692305461913,0.2127659574468085,0.2161381241912325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
115,630.0,689.5390471579225,690.1051162446812,686.9905878074868,682.8892293349359,681.6670657879246,0.3617021276595744,0.5716590147661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
116,750.0,710.948085191854,705.7181331682409,701.970873786407,682.8892293349359,705.692305461913,0.7446808510638298,0.4647510325634162,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
117,730.0,689.5390471579225,706.8106482790962,701.970873786407,705.544032472127,705.692305461913,0.3191489361702128,0.1512771878822257,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
118,600.0,710.948085191854,690.9363487011881,701.970873786407,682.8892293349359,705.692305461913,0.7446808510638298,0.4431425380674667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
119,650.0,695.0776273114345,706.8106482790962,701.970873786407,678.7988667568208,705.692305461913,0.2659574468085106,0.0970166450995338,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
120,750.0,689.5390471579225,706.8106482790962,701.970873786407,678.7988667568208,705.692305461913,0.1914893617021276,0.0050874798362079,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
121,730.0,689.5390471579225,702.9823902370576,701.970873786407,682.8892293349359,705.692305461913,0.3191489361702128,0.28764646446741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
122,735.0,695.0776273114345,706.8106482790962,701.970873786407,705.544032472127,705.692305461913,0.1063829787234042,0.1950791484232358,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
123,610.0,689.5390471579225,692.0263743925917,701.970873786407,678.7988667568208,705.692305461913,0.5531914893617021,0.3432010352223778,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
