,price,propertyType,exterior,rooms,bathrooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000
88,700.0,flat,False,1,1,Madrid,good,1,False,0.2659574468085106,0.0164855618385833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,700.0,flat,True,2,1,Aranjuez,good,1,False,0.5851063829787234,0.7752113874461561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,675.0,duplex,True,2,2,Miraflores de la Sierra,good,2,False,0.7127659574468085,0.7856345168666797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,650.0,flat,True,1,1,Pedrezuela,good,bj,False,0.2659574468085106,0.6657685285306579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
92,750.0,studio,True,0,1,Madrid,good,2,True,0.3723404255319149,0.0130289117756545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,720.0,studio,True,0,1,San Sebastián de los Reyes,good,5,True,0.2659574468085106,0.2703277613316079,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,624.0,flat,True,1,1,Valdemoro,newdevelopment,desconocido,True,0.2659574468085106,0.4235548543775371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,633.0,flat,True,1,1,Valdemoro,newdevelopment,desconocido,True,0.2659574468085106,0.4235548543775371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
96,640.0,studio,True,0,1,Madrid,good,2,True,0.1382978723404255,0.1950968748338149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,645.0,flat,True,2,2,Aranjuez,good,2,True,0.6808510638297872,0.7736514633151934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,750.0,flat,False,1,1,Madrid,good,3,False,0.276595744680851,0.0157055997731019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
